customer_id,full_name,email,birth_date,gender,city,state,signup_date,customer_segment,acquisition_channel,monthly_income,credit_score,risk_level,is_active,churn_flag
1,Joan Cook,smithleon@example.org,1967-08-27,Male,West Ian,Nicaragua,2025-09-11,Standard,Google Ads,2660,743,Medium,True,False
2,Gordon Carr,mperry@example.org,1954-02-17,Non-Binary,West Paulinetown,Burkina Faso,2025-08-30,Standard,Referral,4719,650,Medium,True,True
3,Emily O'Connor,cartertracy@example.net,1953-09-17,Non-Binary,West Joanne,Turks and Caicos Islands,2025-06-21,Standard,Organic,3015,701,Medium,True,True
4,Mrs Pauline Wilson,bjones@example.org,1962-03-11,Female,South Geoffreyside,British Indian Ocean Territory (Chagos Archipelago),2024-08-22,Standard,Organic,4805,665,Medium,True,False
5,Chelsea Spencer,jaynejones@example.com,1957-12-31,Male,Bryantland,Cambodia,2026-05-20,Standard,Organic,3868,676,Medium,False,False
6,Kenneth Morley,lydiacollins@example.com,1992-10-03,Female,Suttonview,Costa Rica,2024-01-09,Standard,Organic,3939,697,Medium,True,True
7,Dr Vincent McDonald,rachel47@example.org,1954-05-31,Female,Nicolatown,Mauritius,2025-06-04,Premium,Organic,6955,745,Medium,True,False
8,Jeffrey Jones,hcoates@example.org,1997-03-11,Female,Knightburgh,Somalia,2023-06-18,Premium,Facebook Ads,10675,643,High,False,False
9,Richard Patel,butcherjasmine@example.net,2004-12-05,Female,East Rhystown,Christmas Island,2025-07-20,Standard,Google Ads,3075,690,Medium,True,False
10,Vanessa Henderson,shaunshaw@example.org,1961-01-24,Male,Sandersonview,Marshall Islands,2024-03-15,Standard,Organic,2179,675,Medium,True,False
11,Ms Holly Morris,hbutler@example.net,1949-05-10,Male,Butlerburgh,Christmas Island,2023-09-30,Standard,Google Ads,2952,746,Medium,True,False
12,Mrs Michelle Thornton,stephen10@example.org,1964-03-30,Male,Holdenberg,Netherlands Antilles,2026-06-09,Standard,Google Ads,3982,771,Low,True,False
13,Lynne Ward,woodjoan@example.com,1969-10-23,Male,Robinfurt,Aruba,2023-11-04,Standard,Referral,2604,765,Low,False,False
14,Dr Mohammad Murphy,victorparkes@example.com,1963-09-22,Female,Nigelhaven,Turkey,2023-08-07,Premium,Google Ads,5502,808,Low,True,False
